0,Round1,2010-03-12,Eels,12,Dragons,18,2010,-6,1000,1000,2.1716826480306635
1,Round1,2010-03-12,Broncos,30,Cowboys,24,2010,6,1000,1000,2.1716826480306635
2,Round1,2010-03-13,Bulldogs,16,Knights,20,2010,-4,1000,1000,2.1716826480306635
3,Round1,2010-03-13,Panthers,34,Raiders,16,2010,18,1000,1000,2.1716826480306635
4,Round1,2010-03-13,Sharks,10,Storm,14,2010,-4,1000,1000,2.1716826480306635
5,Round1,2010-03-14,Rabbitohs,10,Roosters,36,2010,-26,1000,1000,2.1716826480306635
6,Round1,2010-03-14,Titans,24,Warriors,18,2010,6,1000,1000,2.1716826480306635
7,Round1,2010-03-15,WestsTigers,26,SeaEagles,22,2010,4,1000,1000,2.1716826480306635
8,Round2,2010-03-19,Dragons,26,Bulldogs,6,2010,20,1000.1161740776142,999.9127287986511,2.616544203968371
9,Round2,2010-03-19,Rabbitohs,18,Titans,19,2010,-1,999.5771945883469,1000.052709047486,1.135916308331318
10,Round2,2010-03-20,Cowboys,28,Panthers,20,2010,8,999.947290952514,1000.2111249852569,1.5963048198543062
11,Round2,2010-03-20,Warriors,30,Sharks,16,2010,14,999.947290952514,999.9127287986511,2.247185090982048
12,Round2,2010-03-20,Knights,14,Storm,20,2010,-6,1000.0872712013489,1000.0872712013489,2.1716826480306635
13,Round2,2010-03-21,Eels,24,SeaEagles,20,2010,4,999.8838259223858,999.9746931196008,1.973321175979028
14,Round2,2010-03-21,Roosters,44,WestsTigers,32,2010,12,1000.4228054116531,1000.0253068803992,3.041827368995555
15,Round2,2010-03-22,Raiders,22,Broncos,14,2010,8,999.7888750147431,1000.052709047486,1.5963048198543062
16,Round3,2010-03-26,WestsTigers,23,Eels,12,2010,11,999.904197969027,999.9118933117317,2.154875897612793
17,Round3,2010-03-26,Dragons,33,Cowboys,8,2010,25,1000.3465498944828,1000.0351268422518,2.853070599843404
18,Round3,2010-03-27,Panthers,10,Storm,16,2010,-6,1000.1232890955191,1000.2034452789632,1.9966924578688727
19,Round3,2010-03-27,Titans,24,Raiders,4,2010,20,1000.0827532130929,999.8767109044809,2.6222296224573847
20,Round3,2010-03-27,SeaEagles,36,Knights,12,2010,24,999.9466257302549,999.9710971237347,2.1182418389921858
21,Round3,2010-03-28,Broncos,16,Warriors,48,2010,-32,999.9648731577482,1000.1056827806912,1.8643851508588678
22,Round3,2010-03-28,Bulldogs,60,Roosters,14,2010,46,999.6823529817825,1000.5439143230253,0.29916234307404427
23,Round3,2010-03-29,Sharks,8,Rabbitohs,30,2010,-22,999.7543369704739,999.54715042274,2.624734644463683
24,Round4,2010-04-02,Storm,17,Dragons,4,2010,13,1000.317184247186,1000.6360496849861,1.4765086362067554
25,Round4,2010-04-02,Roosters,25,Broncos,6,2010,19,999.9741129575024,999.4477962108641,3.324659593638355
26,Round4,2010-04-03,Sharks,11,Eels,0,2010,11,999.3892072156156,999.7917099645521,1.294585279012418
27,Round4,2010-04-03,Cowboys,32,Titans,18,2010,14,999.7456270517484,1000.3130501388857,0.936368973187032
28,Round4,2010-04-04,Warriors,6,SeaEagles,14,2010,-8,1000.6227597275753,1000.2339812472648,3.022696599471074
29,Round4,2010-04-04,Raiders,22,WestsTigers,35,2010,-13,999.6464139786881,1000.0243813162066,1.3479353562210792
30,Round4,2010-04-05,Knights,30,Panthers,34,2010,-4,999.6837416067249,1000.0095501272963,1.4613997995994503
31,Round4,2010-04-05,Rabbitohs,38,Bulldogs,16,2010,22,999.9122801775983,1000.2521543473055,1.4307952250509226
32,Round5,2010-04-09,Titans,20,Storm,16,2010,4,1000.136369408114,1000.4732193503783,1.4373750391606248
33,Round5,2010-04-09,Dragons,34,Broncos,16,2010,18,1000.4800145817939,999.239909536531,4.899320128589999
34,Round5,2010-04-10,Cowboys,16,WestsTigers,23,2010,-7,999.9223077825202,1000.2326946620415,1.494960444899881
35,Round5,2010-04-10,Rabbitohs,28,Knights,10,2010,18,1000.1843232779765,999.606368602758,3.438151198843426
36,Round5,2010-04-10,Bulldogs,24,Warriors,30,2010,-6,999.9801112469272,1000.4655628012257,1.1143312687318871
37,Round5,2010-04-11,SeaEagles,40,Sharks,12,2010,28,1000.3911781736143,999.5213850777029,4.080809148682263
38,Round5,2010-04-11,Panthers,28,Roosters,6,2010,22,1000.0869231312631,1000.1819996318355,1.9641373156120954
39,Round5,2010-04-12,Eels,14,Raiders,24,2010,-10,999.6595321024647,999.4381006328532,2.655923020487221
40,Round6,2010-04-16,WestsTigers,4,Bulldogs,24,2010,-20,1000.3540065035457,999.8786856156602,3.212644186941364
41,Round6,2010-04-16,Titans,6,Dragons,19,2010,-13,1000.171909940514,1000.653474863887,1.1227733915685614
42,Round6,2010-04-17,Knights,36,Cowboys,18,2010,18,999.4127998393311,999.8009959410159,1.3256919964029132
43,Round6,2010-04-17,Roosters,36,Raiders,6,2010,30,999.9173936766433,999.6197400849351,2.8228923381203637
44,Round6,2010-04-18,Warriors,12,Panthers,40,2010,-28,1000.5669884324927,1000.3515290864553,2.642846811055262
45,Round6,2010-04-18,Broncos,44,Sharks,16,2010,28,999.0664492544378,999.2121930426949,1.8536259560356654
46,Round6,2010-04-18,Eels,22,Rabbitohs,8,2010,14,999.4778926503828,1000.3778920414035,0.2160509392040942
47,Round6,2010-04-19,Storm,16,SeaEagles,18,2010,-2,1000.4376788179783,1000.7003702086223,1.598793000280833
48,Round7,2010-04-23,Bulldogs,36,Broncos,18,2010,18,1000.2204833956644,999.4064886842106,3.9577717785759385
